epoch,step,train_loss,train_mse,train_r2,validation_loss,validation_mse,validation_r2
31,383,0.26208969950675964,0.26208972930908203,-0.8185527920722961,,,
32,395,,,,0.14601999521255493,0.14602001011371613,0.1740785837173462
32,395,0.27093207836151123,0.27093204855918884,-0.9446560144424438,,,
33,407,,,,0.1504250466823578,0.15042506158351898,0.23118677735328674
33,407,0.2321997731924057,0.2321997880935669,-0.7398459911346436,,,
34,419,,,,0.16120751202106476,0.16120751202106476,0.19676896929740906
34,419,0.23305346071720123,0.23305343091487885,-0.8533802032470703,,,
35,431,,,,0.14977064728736877,0.14977064728736877,0.18990197777748108
35,431,0.2339978814125061,0.2339978814125061,-0.7896345257759094,,,
36,443,,,,0.17828677594661713,0.17828679084777832,0.2144382745027542
36,443,0.2356412261724472,0.2356412261724472,-0.7732170820236206,,,
37,455,,,,0.16722041368484497,0.16722041368484497,0.20441655814647675
37,455,0.2440120428800583,0.2440120428800583,-0.5472301840782166,,,
38,467,,,,0.15416279435157776,0.15416279435157776,0.2361934632062912
38,467,0.24190044403076172,0.2419004589319229,-0.8974294662475586,,,
39,479,,,,0.175112783908844,0.1751127988100052,0.1936892718076706
39,479,0.2468908429145813,0.2468908131122589,-0.9894648790359497,,,
40,491,,,,0.19287869334220886,0.19287870824337006,0.25371652841567993
40,491,0.23388265073299408,0.23388268053531647,-0.6615296602249146,,,
41,503,,,,0.19358666241168976,0.19358667731285095,0.2525083124637604
41,503,0.24897925555706024,0.24897927045822144,-0.8603294491767883,,,
42,515,,,,0.16984735429286957,0.16984735429286957,0.31350162625312805
42,515,0.22497113049030304,0.22497111558914185,-0.7613024115562439,,,
43,527,,,,0.15489937365055084,0.15489937365055084,0.3017827570438385
43,527,0.20304010808467865,0.20304010808467865,-0.5920653939247131,,,
44,539,,,,0.17100484669208527,0.17100486159324646,0.31286293268203735
44,539,0.21693111956119537,0.21693110466003418,-0.7482417821884155,,,
45,551,,,,0.18235181272029877,0.18235181272029877,0.3339478075504303
